generation,mse_best,mse_median,k_mlp,k_proteins,k_total,k_mlp_ratio,fitness_best,fitness_median,age_max,threshold,n0_sat,n1_sat,n2_sat,n3_sat,n4_sat,n5_sat,n6_sat,n7_sat
66,0.016639528796076775,0.03113538771867752,0,1,1,0.0,-0.002184598008170724,-0.005092390347272158,8,0.95,0.0,0.09000000357627869,0.03999999910593033,0.0,0.019999999552965164,0.0,0.029999999329447746,0.0
67,0.013858051039278507,0.030637705698609352,0,1,1,0.0,-0.0013858050806447864,-0.004179113544523716,9,0.95,0.0,0.07000000029802322,0.03999999910593033,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
68,0.013858051039278507,0.026982590556144714,0,1,1,0.0,-0.0013858050806447864,-0.0031648455187678337,8,0.95,0.0,0.07000000029802322,0.03999999910593033,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
69,0.013858051039278507,0.02585561014711857,0,1,1,0.0,-0.0013858050806447864,-0.002698258962482214,5,0.95,0.0,0.07000000029802322,0.03999999910593033,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
70,0.013858051039278507,0.02419380657374859,0,1,1,0.0,-0.0013858050806447864,-0.0025349892675876617,5,0.95,0.0,0.07000000029802322,0.03999999910593033,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
71,0.013858051039278507,0.023416100069880486,0,1,1,0.0,-0.0013858050806447864,-0.002402670681476593,6,0.95,0.0,0.07000000029802322,0.03999999910593033,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
72,0.013858051039278507,0.02183479443192482,0,1,1,0.0,-0.0013858050806447864,-0.0022813468240201473,7,0.95,0.0,0.07000000029802322,0.03999999910593033,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
73,0.013858051039278507,0.019885782152414322,0,1,1,0.0,-0.0013858050806447864,-0.0021227565594017506,7,0.95,0.0,0.07000000029802322,0.03999999910593033,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
74,0.013858051039278507,0.019667506217956543,0,1,1,0.0,-0.0013858050806447864,-0.00200821366161108,7,0.95,0.0,0.07000000029802322,0.03999999910593033,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
75,0.013858051039278507,0.019255951046943665,0,1,1,0.0,-0.0013858050806447864,-0.0019556584302335978,8,0.95,0.0,0.07000000029802322,0.03999999910593033,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
76,0.013858051039278507,0.018844831734895706,0,1,1,0.0,-0.0013858050806447864,-0.0019160781521350145,9,0.95,0.0,0.07000000029802322,0.03999999910593033,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
77,0.013858051039278507,0.018802065402269363,0,1,1,0.0,-0.0013858050806447864,-0.0018918948480859399,10,0.95,0.0,0.07000000029802322,0.03999999910593033,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
78,0.013158020563423634,0.017941657453775406,0,1,1,0.0,-0.001315802102908492,-0.0018177992897108197,11,0.95,0.0,0.07000000029802322,0.03999999910593033,0.0,0.029999999329447746,0.0,0.029999999329447746,0.0
79,0.01087288185954094,0.0176994651556015,0,1,1,0.0,-0.0010872881393879652,-0.0017870960291475058,12,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.029999999329447746,0.0,0.029999999329447746,0.0
80,0.01087288185954094,0.016841242089867592,0,1,1,0.0,-0.0010872881393879652,-0.0017506477888673544,13,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.029999999329447746,0.0,0.029999999329447746,0.0
81,0.01087288185954094,0.016841242089867592,0,1,1,0.0,-0.0010872881393879652,-0.0017178324051201344,14,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.029999999329447746,0.0,0.029999999329447746,0.0
82,0.01087288185954094,0.016131769865751266,0,1,1,0.0,-0.0010872881393879652,-0.00162676686886698,15,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.029999999329447746,0.0,0.029999999329447746,0.0
83,0.010779009200632572,0.014638559892773628,0,1,1,0.0,-0.0010872881393879652,-0.0015397561946883798,16,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.029999999329447746,0.0,0.029999999329447746,0.0
84,0.010779009200632572,0.014347278513014317,0,1,1,0.0,-0.0010872881393879652,-0.0014461097307503223,17,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.029999999329447746,0.0,0.029999999329447746,0.0
85,0.010645165108144283,0.013200423680245876,0,1,1,0.0,-0.0010872881393879652,-0.001328687067143619,18,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.029999999329447746,0.0,0.029999999329447746,0.0
86,0.010779009200632572,0.013035439886152744,0,1,1,0.0,-0.0010872881393879652,-0.001478671096265316,8,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.029999999329447746,0.0,0.029999999329447746,0.0
87,0.008710529655218124,0.012741228565573692,0,1,1,0.0,-0.0008710529655218124,-0.0013059310149401426,9,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
