generation,mse_best,mse_median,k_mlp,k_proteins,k_total,k_mlp_ratio,fitness_best,fitness_median,age_max,threshold,n0_sat,n1_sat,n2_sat,n3_sat,n4_sat,n5_sat,n6_sat,n7_sat,n8_sat,n9_sat,n10_sat,n11_sat,n12_sat,n13_sat,n14_sat,n15_sat,n16_sat,n17_sat,n18_sat,n19_sat,n20_sat,n21_sat,n22_sat,n23_sat,n24_sat,n25_sat,n26_sat,n27_sat,n28_sat,n29_sat,n30_sat,n31_sat
11,0.3601608872413635,0.44643497467041016,0,0,0,0.0,-0.2938583195209503,-0.37408435344696045,6,0.95,0.17999999225139618,0.1899999976158142,0.14999999105930328,0.09999999403953552,0.4099999964237213,0.1899999976158142,0.1899999976158142,0.14000000059604645,0.2800000011920929,0.23999999463558197,0.17999999225139618,0.1599999964237213,0.09999999403953552,0.08999999612569809,0.2199999988079071,0.17000000178813934,0.26999998092651367,0.20999999344348907,0.38999998569488525,0.14000000059604645,0.19999998807907104,0.11999999731779099,0.11999999731779099,0.08999999612569809,0.07999999821186066,0.22999998927116394,0.20999999344348907,0.25,0.1899999976158142,0.08999999612569809,0.14000000059604645,0.23999999463558197
12,0.3271576166152954,0.4351917505264282,0,1,1,0.0,-0.25446221232414246,-0.3605062663555145,7,0.95,0.25999999046325684,0.22999998927116394,0.10999999940395355,0.12999999523162842,0.41999998688697815,0.17999999225139618,0.17999999225139618,0.12999999523162842,0.2199999988079071,0.22999998927116394,0.17000000178813934,0.25,0.10999999940395355,0.10999999940395355,0.20999999344348907,0.3199999928474426,0.28999999165534973,0.23999999463558197,0.38999998569488525,0.17000000178813934,0.1899999976158142,0.17999999225139618,0.07999999821186066,0.14999999105930328,0.1599999964237213,0.17999999225139618,0.28999999165534973,0.22999998927116394,0.20999999344348907,0.08999999612569809,0.11999999731779099,0.2199999988079071
13,0.3271576166152954,0.41401708126068115,0,1,1,0.0,-0.25446221232414246,-0.3440324664115906,8,0.95,0.25999999046325684,0.22999998927116394,0.10999999940395355,0.12999999523162842,0.41999998688697815,0.17999999225139618,0.17999999225139618,0.12999999523162842,0.2199999988079071,0.22999998927116394,0.17000000178813934,0.25,0.10999999940395355,0.10999999940395355,0.20999999344348907,0.3199999928474426,0.28999999165534973,0.23999999463558197,0.38999998569488525,0.17000000178813934,0.1899999976158142,0.17999999225139618,0.07999999821186066,0.14999999105930328,0.1599999964237213,0.17999999225139618,0.28999999165534973,0.22999998927116394,0.20999999344348907,0.08999999612569809,0.11999999731779099,0.2199999988079071
14,0.3271576166152954,0.40285179018974304,0,1,1,0.0,-0.25446221232414246,-0.3161029815673828,5,0.95,0.25999999046325684,0.22999998927116394,0.10999999940395355,0.12999999523162842,0.41999998688697815,0.17999999225139618,0.17999999225139618,0.12999999523162842,0.2199999988079071,0.22999998927116394,0.17000000178813934,0.25,0.10999999940395355,0.10999999940395355,0.20999999344348907,0.3199999928474426,0.28999999165534973,0.23999999463558197,0.38999998569488525,0.17000000178813934,0.1899999976158142,0.17999999225139618,0.07999999821186066,0.14999999105930328,0.1599999964237213,0.17999999225139618,0.28999999165534973,0.22999998927116394,0.20999999344348907,0.08999999612569809,0.11999999731779099,0.2199999988079071
15,0.3271576166152954,0.3965575397014618,0,1,1,0.0,-0.25446221232414246,-0.3011802136898041,4,0.95,0.25999999046325684,0.22999998927116394,0.10999999940395355,0.12999999523162842,0.41999998688697815,0.17999999225139618,0.17999999225139618,0.12999999523162842,0.2199999988079071,0.22999998927116394,0.17000000178813934,0.25,0.10999999940395355,0.10999999940395355,0.20999999344348907,0.3199999928474426,0.28999999165534973,0.23999999463558197,0.38999998569488525,0.17000000178813934,0.1899999976158142,0.17999999225139618,0.07999999821186066,0.14999999105930328,0.1599999964237213,0.17999999225139618,0.28999999165534973,0.22999998927116394,0.20999999344348907,0.08999999612569809,0.11999999731779099,0.2199999988079071
16,0.3132971227169037,0.39435458183288574,0,1,1,0.0,-0.20616069436073303,-0.2913760542869568,5,0.95,0.28999999165534973,0.25999999046325684,0.1599999964237213,0.1599999964237213,0.35999998450279236,0.25,0.26999998092651367,0.2199999988079071,0.26999998092651367,0.26999998092651367,0.22999998927116394,0.19999998807907104,0.12999999523162842,0.07999999821186066,0.3499999940395355,0.17000000178813934,0.3700000047683716,0.14000000059604645,0.2800000011920929,0.17999999225139618,0.26999998092651367,0.17999999225139618,0.29999998211860657,0.12999999523162842,0.1599999964237213,0.20999999344348907,0.22999998927116394,0.23999999463558197,0.17000000178813934,0.09999999403953552,0.12999999523162842,0.25999999046325684
17,0.3132971227169037,0.38976189494132996,0,1,1,0.0,-0.20616069436073303,-0.27920278906822205,5,0.95,0.28999999165534973,0.25999999046325684,0.1599999964237213,0.1599999964237213,0.35999998450279236,0.25,0.26999998092651367,0.2199999988079071,0.26999998092651367,0.26999998092651367,0.22999998927116394,0.19999998807907104,0.12999999523162842,0.07999999821186066,0.3499999940395355,0.17000000178813934,0.3700000047683716,0.14000000059604645,0.2800000011920929,0.17999999225139618,0.26999998092651367,0.17999999225139618,0.29999998211860657,0.12999999523162842,0.1599999964237213,0.20999999344348907,0.22999998927116394,0.23999999463558197,0.17000000178813934,0.09999999403953552,0.12999999523162842,0.25999999046325684
18,0.3132971227169037,0.37576350569725037,0,1,1,0.0,-0.20616069436073303,-0.2724510431289673,6,0.95,0.28999999165534973,0.25999999046325684,0.1599999964237213,0.1599999964237213,0.35999998450279236,0.25,0.26999998092651367,0.2199999988079071,0.26999998092651367,0.26999998092651367,0.22999998927116394,0.19999998807907104,0.12999999523162842,0.07999999821186066,0.3499999940395355,0.17000000178813934,0.3700000047683716,0.14000000059604645,0.2800000011920929,0.17999999225139618,0.26999998092651367,0.17999999225139618,0.29999998211860657,0.12999999523162842,0.1599999964237213,0.20999999344348907,0.22999998927116394,0.23999999463558197,0.17000000178813934,0.09999999403953552,0.12999999523162842,0.25999999046325684
19,0.30437710881233215,0.36940258741378784,0,1,1,0.0,-0.20616069436073303,-0.2629699110984802,7,0.95,0.28999999165534973,0.25999999046325684,0.1599999964237213,0.1599999964237213,0.35999998450279236,0.25,0.26999998092651367,0.2199999988079071,0.26999998092651367,0.26999998092651367,0.22999998927116394,0.19999998807907104,0.12999999523162842,0.07999999821186066,0.3499999940395355,0.17000000178813934,0.3700000047683716,0.14000000059604645,0.2800000011920929,0.17999999225139618,0.26999998092651367,0.17999999225139618,0.29999998211860657,0.12999999523162842,0.1599999964237213,0.20999999344348907,0.22999998927116394,0.23999999463558197,0.17000000178813934,0.09999999403953552,0.12999999523162842,0.25999999046325684
20,0.30166542530059814,0.36840158700942993,0,0,0,0.0,-0.18953198194503784,-0.2538655400276184,8,0.95,0.3799999952316284,0.25999999046325684,0.2800000011920929,0.1599999964237213,0.35999998450279236,0.25,0.2199999988079071,0.19999998807907104,0.25999999046325684,0.19999998807907104,0.22999998927116394,0.20999999344348907,0.11999999731779099,0.07999999821186066,0.35999998450279236,0.17000000178813934,0.35999998450279236,0.17999999225139618,0.35999998450279236,0.20999999344348907,0.3400000035762787,0.14000000059604645,0.44999998807907104,0.14999999105930328,0.1899999976158142,0.22999998927116394,0.14999999105930328,0.2199999988079071,0.2199999988079071,0.12999999523162842,0.09999999403953552,0.2800000011920929
