generation,mse_best,mse_median,k_mlp,k_proteins,k_total,k_mlp_ratio,fitness_best,fitness_median,age_max,threshold,n0_sat,n1_sat,n2_sat,n3_sat
79,0.06899028271436691,0.08715139329433441,1,0,1,0.25,-0.006899028085172176,-0.008797653019428253,10,0.95,0.5199999809265137,0.3700000047683716,0.38999998569488525,0.4599999785423279
80,0.06899028271436691,0.08431994169950485,1,0,1,0.25,-0.006899028085172176,-0.008477212861180305,11,0.95,0.5199999809265137,0.3700000047683716,0.38999998569488525,0.4599999785423279
81,0.06899028271436691,0.08351267129182816,1,0,1,0.25,-0.006899028085172176,-0.00835126731544733,12,0.95,0.5199999809265137,0.3700000047683716,0.38999998569488525,0.4599999785423279
82,0.06596658378839493,0.08131186664104462,2,0,2,0.5,-0.006596658378839493,-0.00817174557596445,13,0.95,0.5099999904632568,0.5099999904632568,0.4099999964237213,0.47999998927116394
83,0.06596658378839493,0.08131186664104462,2,0,2,0.5,-0.006596658378839493,-0.008140099234879017,13,0.95,0.5099999904632568,0.5099999904632568,0.4099999964237213,0.47999998927116394
84,0.06520895659923553,0.07984399795532227,2,0,2,0.5,-0.006520895753055811,-0.008024446666240692,14,0.95,0.5399999618530273,0.5600000023841858,0.44999998807907104,0.47999998927116394
85,0.06520895659923553,0.0784761905670166,2,0,2,0.5,-0.006520895753055811,-0.007897429168224335,15,0.95,0.5399999618530273,0.5600000023841858,0.44999998807907104,0.47999998927116394
86,0.06520895659923553,0.07672422379255295,2,0,2,0.5,-0.006520895753055811,-0.007684703450649977,16,0.95,0.5399999618530273,0.5600000023841858,0.44999998807907104,0.47999998927116394
87,0.06520895659923553,0.07454578578472137,2,0,2,0.5,-0.006520895753055811,-0.007497386075556278,17,0.95,0.5399999618530273,0.5600000023841858,0.44999998807907104,0.47999998927116394
88,0.06452666968107224,0.07174771279096603,2,1,3,0.5,-0.006452667061239481,-0.007283817045390606,13,0.95,0.5099999904632568,0.5099999904632568,0.38999998569488525,0.44999998807907104
89,0.06261692941188812,0.0712738186120987,2,0,2,0.5,-0.006261692848056555,-0.007127381861209869,13,0.95,0.5199999809265137,0.550000011920929,0.4599999785423279,0.4899999797344208
90,0.06261692941188812,0.07065723836421967,2,0,2,0.5,-0.006261692848056555,-0.007065723650157452,14,0.95,0.5199999809265137,0.550000011920929,0.4599999785423279,0.4899999797344208
91,0.06261692941188812,0.06942550837993622,2,0,2,0.5,-0.006261692848056555,-0.007033403962850571,15,0.95,0.5199999809265137,0.550000011920929,0.4599999785423279,0.4899999797344208
92,0.06153455004096031,0.06899461895227432,2,1,3,0.5,-0.006153455004096031,-0.006899462081491947,16,0.95,0.5,0.6200000047683716,0.5199999809265137,0.5
93,0.05702260509133339,0.06845507025718689,1,1,2,0.25,-0.0057022604160010815,-0.00685496162623167,17,0.95,0.4599999785423279,0.6100000143051147,0.4899999797344208,0.4899999797344208
94,0.05702260509133339,0.06845507025718689,1,1,2,0.25,-0.0057022604160010815,-0.006845506839454174,12,0.95,0.4599999785423279,0.6100000143051147,0.4899999797344208,0.4899999797344208
95,0.0533747673034668,0.06664213538169861,3,1,4,0.75,-0.00533747673034668,-0.006733854301273823,13,0.95,0.4699999988079071,0.6100000143051147,0.5600000023841858,0.5099999904632568
96,0.0533747673034668,0.06597346067428589,3,1,4,0.75,-0.00533747673034668,-0.006597345694899559,14,0.95,0.4699999988079071,0.6100000143051147,0.5600000023841858,0.5099999904632568
97,0.0533747673034668,0.0639999732375145,3,1,4,0.75,-0.00533747673034668,-0.0064712511375546455,15,0.95,0.4699999988079071,0.6100000143051147,0.5600000023841858,0.5099999904632568
98,0.05168689787387848,0.06269645690917969,3,1,4,0.75,-0.00533747673034668,-0.006326145492494106,10,0.95,0.4699999988079071,0.6100000143051147,0.5600000023841858,0.5099999904632568
99,0.0493081659078598,0.06089211255311966,2,1,3,0.5,-0.00493081659078598,-0.006089211441576481,10,0.95,0.5,0.5,0.6100000143051147,0.5299999713897705
100,0.047739941626787186,0.05920805782079697,4,1,5,1.0,-0.004773993976414204,-0.005920805968344212,7,0.95,0.5299999713897705,0.5399999618530273,0.6499999761581421,0.5399999618530273
101,0.047067832201719284,0.05808290094137192,3,1,4,0.75,-0.004706783220171928,-0.005808290094137192,8,0.95,0.4899999797344208,0.5699999928474426,0.6599999666213989,0.5199999809265137
102,0.047067832201719284,0.05714169889688492,3,1,4,0.75,-0.004706783220171928,-0.005730908364057541,9,0.95,0.4899999797344208,0.5699999928474426,0.6599999666213989,0.5199999809265137
103,0.0460142120718956,0.055341824889183044,3,1,4,0.75,-0.004601421300321817,-0.0055341823026537895,10,0.95,0.5,0.550000011920929,0.6499999761581421,0.5799999833106995
104,0.04295884817838669,0.054380133748054504,3,0,3,0.75,-0.004295884631574154,-0.005504364147782326,9,0.95,0.5,0.6299999952316284,0.6800000071525574,0.5099999904632568
105,0.04295884817838669,0.05388619005680084,3,0,3,0.75,-0.004295884631574154,-0.005398005247116089,10,0.95,0.5,0.6299999952316284,0.6800000071525574,0.5099999904632568
106,0.04295884817838669,0.05240703374147415,3,0,3,0.75,-0.004295884631574154,-0.005300787277519703,11,0.95,0.5,0.6299999952316284,0.6800000071525574,0.5099999904632568
107,0.04295884817838669,0.050679706037044525,3,0,3,0.75,-0.004295884631574154,-0.005128290504217148,8,0.95,0.5,0.6299999952316284,0.6800000071525574,0.5099999904632568
108,0.04295884817838669,0.05000832676887512,3,0,3,0.75,-0.004295884631574154,-0.005010548047721386,9,0.95,0.5,0.6299999952316284,0.6800000071525574,0.5099999904632568
109,0.04295884817838669,0.04948406666517258,3,0,3,0.75,-0.004295884631574154,-0.004948406480252743,10,0.95,0.5,0.6299999952316284,0.6800000071525574,0.5099999904632568
110,0.04295884817838669,0.04912760853767395,3,0,3,0.75,-0.004295884631574154,-0.004915607161819935,11,0.95,0.5,0.6299999952316284,0.6800000071525574,0.5099999904632568
111,0.04295884817838669,0.048894185572862625,3,0,3,0.75,-0.004295884631574154,-0.004889418371021748,11,0.95,0.5,0.6299999952316284,0.6800000071525574,0.5099999904632568
112,0.04295884817838669,0.048538967967033386,3,0,3,0.75,-0.004295884631574154,-0.004853896796703339,12,0.95,0.5,0.6299999952316284,0.6800000071525574,0.5099999904632568
113,0.039030518382787704,0.04769613593816757,3,1,4,0.75,-0.0039030518382787704,-0.004769613966345787,13,0.95,0.5099999904632568,0.699999988079071,0.6699999570846558,0.4899999797344208
114,0.039030518382787704,0.04728557914495468,3,1,4,0.75,-0.0039030518382787704,-0.0047480338253080845,13,0.95,0.5099999904632568,0.699999988079071,0.6699999570846558,0.4899999797344208
115,0.039030518382787704,0.047075700014829636,3,1,4,0.75,-0.0039030518382787704,-0.004716046620160341,14,0.95,0.5099999904632568,0.699999988079071,0.6699999570846558,0.4899999797344208
116,0.038065165281295776,0.046834979206323624,3,1,4,0.75,-0.0038065165281295776,-0.004683497827500105,15,0.95,0.4899999797344208,0.6699999570846558,0.6899999976158142,0.5099999904632568
117,0.038065165281295776,0.046043761074543,3,1,4,0.75,-0.0038065165281295776,-0.004604375921189785,14,0.95,0.4899999797344208,0.6699999570846558,0.6899999976158142,0.5099999904632568
118,0.038065165281295776,0.04508768022060394,3,1,4,0.75,-0.0038065165281295776,-0.00453442707657814,15,0.95,0.4899999797344208,0.6699999570846558,0.6899999976158142,0.5099999904632568
119,0.038065165281295776,0.04508768022060394,3,1,4,0.75,-0.0038065165281295776,-0.004517943598330021,15,0.95,0.4899999797344208,0.6699999570846558,0.6899999976158142,0.5099999904632568
120,0.038065165281295776,0.044250573962926865,3,1,4,0.75,-0.0038065165281295776,-0.004431318491697311,16,0.95,0.4899999797344208,0.6699999570846558,0.6899999976158142,0.5099999904632568
121,0.038065165281295776,0.0442248173058033,3,1,4,0.75,-0.0038065165281295776,-0.004422481637448072,17,0.95,0.4899999797344208,0.6699999570846558,0.6899999976158142,0.5099999904632568
122,0.037683453410863876,0.04403143748641014,4,0,4,1.0,-0.0037683453410863876,-0.004403143655508757,18,0.95,0.5099999904632568,0.6200000047683716,0.7199999690055847,0.5199999809265137
123,0.037683453410863876,0.04378717392683029,4,0,4,1.0,-0.0037683453410863876,-0.004383813589811325,19,0.95,0.5099999904632568,0.6200000047683716,0.7199999690055847,0.5199999809265137
